Заголовок,Дата публикации,Текст,Автор,Ссылка
В Нововятске в 5 км от дома нашли без вести пропавшего мальчика,"10 июн 2024, 22:00","
В отделение полиции обратилась женщина с заявлением о пропаже 12-летнего сына.  Как оказалось, мальчик ушел из дома еще утром, но к вечеру так и не вернулся, рассказали в УМВД России по Кировской области.
Жительница Радужного добавила, что у мальчика есть при себе телефон, но дозвониться она не может - сотовый выключен. Полицейские немедленно начали поисковые мероприятия: опросили близких и знакомых школьника, проверили места отдыха молодежи, прочесывали улицы района. Обнаружить ребенка удалось лишь поздно вечером на дороге  в 5 км от дома в районе слободы Кокуй, к счастью, с ним все было в порядке.
Ребенок рассказал полицейским, что ходил гулять к озеру Русское. Мальчика передали родителям.
Полицейские просят кировчан обеспечить контроль за отдыхом детей, особенно в период каникул. Школьникам следует регулярно напоминать о правилах безопасности, в том числе у водоемов.
Фото: редакция портала ""Город Киров"" 
",Автор: Редакция,https://gorodkirov.ru/news/v-novovyatske-v-5-km-ot-doma-nashli-bez-vesti-propavshego-malchika/
В Киров привезли первую партию клубники из Киргизии,"10 июн 2024, 21:00","
Россельхознадзор проконтролировал ввоз в Киров четырех тонн импортной клубники из Киргизии. 
В ведомстве рассказали, что первую партию ягоды весом 3,937 т доставили из Киргизской Республики. При этом за аналогичный период 2023 года в регион клубника не поступала. Несмотря на то, что на всю продукцию у поставщиков имелись соответствующие сертификаты, сотрудники Россельхознадзора взяли пробы и проверили качество поступившей из-за рубежа продукции.
В результате исследований карантинных организмов в клубнике обнаружено не было, поэтому ведомство допустило всю партию к продаже.
Ранее в ведомстве рассказали, что мясокомбинат в Кировской области  отправил  в магазины просроченный товар.
Фото: Россельхознадзор Киров, Удмуртия, Пермь 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirov-privezli-pervuyu-partiyu-klubniki-iz-kirgizii/
"""Иванушки Intrenational"" и 4 фейерверка: полная программа Дня города-2024 в Кирове","10 июн 2024, 17:50","
Опубликовали полную прорамму праздничных мероприятий в День города Кирова.  Всего будет задействовано больше 30 площадок.
Кировчан ожидает насыщенная праздничная программа с 77 мероприятиями. Мы решили сделать для вас памятку, благодаря которой вы сможете сами для себя организовать День города.
Театральная площадь 
С 06:50 до 07:30 – Утренняя зарядка и установление рекорда города по массовости (6+);
С 11:00 до 11:40 – Торжественное шествие с участием трудовых коллективов предприятий и организаций от Профсоюзной по Карла Маркса с выходом на Театральную площадь (6+);
С 11:40 до 12:00 – Выступление сводного хора на ступенях памятника Ленину (6+);
С 12:00 до 12:40 – Общегородское исполнение гимна РФ с торжественным блоком (6+);
С 12:40 до 13:30 – Выступление вокальной группы ""Квартет Про"" (6+);
С 13:40 до 14:30 – Шоу барабанщиков (6+);
С 14:30 до 15:00 – Трансляция видеороликов о Кирове (6+);
С 15:00 до 18:00 – Спортивные соревнования по силовому экстриму ""Богатырские игры Вятки"" (6+);
С 18:00 до 19:00 – Выступление кавер-группы PLAN X (6+);
С 19:00 до 20:00 – Концерт московской группы ""Стрелки"" (6+).
Октябрьский проспект 
 
С 10:00 до 12:30 – Чемпионат и первенство области по картингу ""Асфальтовое кольцо"" (6+);
С 13:00 до 14:30 – Чемпионат и первенство области по дуатлону (6+);
С 14:00 до 15:00 – Сводный хор мальчиков ""Поют и играют мальчики"" (6+);
С 15:00 до 16:00 – Балет ""Дымковские сказания"" (6+);
С 16:00 до 17:00 – Трибьют-бенд ""Невский проспект"" (6+);
С 17:00 до 18:00 – Шоу барабанщиков (6+);
С 18:00 до 19:00 – Выступление группа ""ВИА Молодость"" (6+);
С 19:00 до 20:00 – Выступление вокального квартета PER4MEN (6+);
С 20:00 до 21:00 – Концерт певицы Юлианны Карауловой (6+);
С 21:00 до 22:00 – группа ""Иванушки International"" (6+);
22:00 – Фейерверк.
Кировский государственный цирк 
С 14:00 до 16:30 – Международный фестиваль циркового искусства (6+).
Парк имени Кирова 
С 10:00 до 22:00 – Праздничная ярмарка (6+);
С 13:00 до 20:00 – Спортивные мероприятия для всех возрастов (6+).
Набережная Грина 
 
10:00 – Открытие историко-документальной выставки под открытым небом ""Из истории любимого города. От стен Вятского кремля"" (6+).
С 10:00 до 16:00 – Будет проходить фестиваль ""Готов к труду и обороне"" (6+);
С 11:00 до 13:00 – Мастер-класс по тхэквондо (6+);
С 13:00 до 19:00 – Концерт от учреждений допобразования и учреждений культуры (6+).
Александровский сад 
С 10:00 до 12:00 – Детская спортивно-игровая программа ""Лучики здоровья"" (6+);
С 13:00 до 18:00 – Мастер-классы по декоративно-прикладному творчеству и выставка работ учащихся художественных отделений школ искусств города ""Городская палитра"" (6+);
С 13:00 до 16:30 – Концерт детских творческих коллективов ""Дети – любимому городу"" (6+);
С 13:30 до 17:30 – Концерт-презентация детских музыкальных школ и школ искусств города (6+);
С 16:30 до 18:00 – Развлекательная программа ""Звёзды КВН города Кирова"" (6+);
С 18:00 до 19:00 – концерт московской группы ""Краски"" (6+);
С 19:00 до 20:00 – Концертная программа ""Голос Кирова"" (6+).
Пешеходная Спасская 
 
10:00 – Ярмарка, посвящённая Году семьи и России (6+);
С 11:00 до 19:00 – Концертная программа и детская анимация, а также семейно-игровой праздник с досуговыми площадками (6+);
С 12:00 до 16:00 – Семейный шахматный турнир в парке ""Аполло"" (6+);
С 13:00 до 14:00 – Исторический бал ""Бегущие по волнам"" (6+);
С 14:00 до 14:15 – Выступление детского образцового музыкального театра ""Открытие"" (6+).
Дворик у кинотеатра «Смена» 
С 10:00 до 11:00 – Детский праздник (6+);
С 20:00 до 21:30 – Показ фильма под открытым небом (6+).
Площадка у Дома Дружбы народов 
С 11:00 до 16:00 – Фестиваль ""Многоликая Вятка"" (6+).
Площадка у ОДНТ 
С 12:00 до 15:00 – Праздничная программа ""Вятская проходочка"" (6+).
Парк имени Гагарина (за Вятской филармонией) 
С 13:00 до 15:00 – Концерт ""Город славится людьми"" (6+).
Кочуровский парк 
 
С 13:00 до 15:00 – Программа «650 счастливых лет» (6+);
С 15:00 до 18:00 – Концерт ""На земле на Вятской"" (6+).
Улица Казанская у Спасского собора 
С 12:00 до 13:00 – Исполнение гимна России (6+);
С 12:00 до 18:00 – Мастер-ярмарка ""Соборная"" (6+), арт-проекты историко-краеведческого клуба ""МИР"" (6+), ""Вятская азбука"" (6+) и ""Вятские часы"" (6+), фотовыставка ""Деревянная Вятка времён архитектора Чарушина"" (6+), дефиле в костюмах горожан XIX века ""Вятский променад. История в костюме"" (6+), исторические танцы общества ""Триумф"" (6+).
С 13:00 до 18:00 – Фестиваль колокольного звона «Малиновый звон на Вятке» (6+).
Парк Победы 
С 15:00 до 21:00 – Праздничная программа (6+);
21:00 – Фейерверк (6+).
Сквер на Советской, 27 в Нововятске 
С 17:00 до 18:00 – Детская анимационная программа (6+);
С 18:00 до 22:00 – Программа ""С малой родины моей начинается Россия"" (6+);
22:00 – Фейерверк (6+).
",Автор: Данил Попов,https://gorodkirov.ru/news/ivanushki-intrenational-i-4-fejerverka-polnaya-programma-dnya-goroda-2024-v-kirove/
"В Кирове на Ломоносова произошло массовое ДТП с участием ""КамАЗа""","10 июн 2024, 16:41","
На Ломоносова в Кирове ""Шевролет"" перевенулась на крышу.  Об этом сообщили в ГАИ Кировской области.
Это произошло сегодня, 10 июня, в 13:20. Около дома №7 столкнулись сразу три автомобиля: ""Шевролет Лагос"", ""Фольксваген Тигуан"" и ""КАМАЗ"". В результате происшествия травмы получил водитель ""Тигуана"". По факту ДТП проводится проверка.

Напомним, что днем ранее в Кировской области произошло два смертельных ДТП. В первом случае на трассе ""Вятка""  автобус столкнулся с ВАЗ-2115  . Затем в Кирово-Чепецком районе врезались две легковушки. Одну после удара  унесло в кювет, там она наехала на дерево  . В обоих авария погиб один человек.
Фото: ГАИ по Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-na-lomonosova-proizoshlo-massovoe-dtp-s-uchastiem-kamaza/
«Ростелеком» обеспечил скоростным интернетом еще 2 000 домохозяйств Кирова,"10 июн 2024, 15:45","
«Ростелеком» создал телеком-инфраструктуру на территориях индивидуальной застройки в Кирове, построив 36 километров распределительной оптической сети.  Более 2 000 семей получили возможность пользоваться высокоскоростным интернетом и цифровыми сервисами провайдера.
Евгений Валов, директор Кировского филиала ПАО «Ростелеком»: 
«Большая часть Кирова уже давно охвачена оптическими сетями. Но на окраинах еще остаются районы без современной связи. Кроме того, город постоянно развивается — появляются коттеджные поселки, в муниципальное образование входят новые территории, где необходимо строить телеком-инфраструктуру. Весной скоростной интернет стал доступен абонентам Нововятского района Кирова, микрорайона Вахрино и поселка Садаковский. Почти все пользователи — жители частных домов». 
Специалисты провайдера заводят линии связи в каждый дом или квартиру. После завершения работ кировчане могут подключить комбинированные тарифные планы с интернетом на скорости от 200 до 700 Мбит/с, интерактивным ТВ и онлайн-кинотеатром Wink. Есть возможность воспользоваться дополнительными сервисами: видеонаблюдением, игровыми опциями и облачным хранилищем.

Николай Кузнецов, житель Кирова: 
«На нашей улице в Нововятском районе много молодых семей, и всем нужен быстрый интернет. Раньше скорость передачи данных не превышала 10 Мбит/с. Покупали дорогие спутниковые антенны, чтобы смотреть спортивные, музыкальные, кулинарные и другие каналы. Как только “Ростелеком” построил оптику, жители стали переключаться на новую сеть. Сейчас интернет у нас ускорился в 50 раз! Видеосервис Wink позволяет смотреть сотни телеканалов и десятки тысяч фильмов в онлайн-кинотеатре».
Узнать о технической возможности подключения услуг «Ростелекома» можно по бесплатному телефону 8 800 100 08 00 или на  сайте  компании. 
 
Реклама. ПАО ""Ростелеком"". ИНН: 7707049388
",Автор: Редакция,https://gorodkirov.ru/news/rostelekom-obespechil-skorostnym-internetom-eshe-2-000-domohozyajstv-kirova/?erid=м
"Акция ""Любимый город"" в супермаркетах ""Система Глобус""","10 июн 2024, 13:54","
В этом году наш город отмечает большой юбилей — 650 лет со дня основания.  Традиционно День города приходится на 12 июня, но поскольку празднование совпадает с Днем России, 650-летие кировчане намерены отметить дважды. В привычную дату запланированы мероприятия больше для местных жителей, а 22 сентября – в официальную дату основания города – на праздник ждут много туристов и гостей из зарубежных стран.
Компания ""Система Глобус"" является одним из генеральных партнеров организации и проведения мероприятий, посвященных празднованию юбилея города, и активно участвует в реализации инновационных и социально-значимых для города проектах. Одним из таких проектов является акция ""Любимый город"", принять участие в которой может любой желающий.
Акция проходит с 1 по 30 июня 2024 года во всех супермаркетах торговой сети ""Система Глобус"". Покупая товары, выделенные ценниками ""Любимый город"", вы становитесь участником благотворительной акции, где часть суммы с выручки от реализации товаров будет передана в фонд празднования юбилея родного города.
Присоединяйтесь к акции ""Любимый город"", внесите свой вклад в празднование юбилея Кирова и делайте добрые дела вместе с ""Глобусом"".
Организатор акции – ООО ""Роксэт-С"", ОГРН 1024301315500 ИНН 4345024144, 610000 Кировская область, г. Киров, ул. Московская, д.2А, кабинет №1. Организатор направит долю от продаж товаров-участников с 1 по 30 июня 2024 года на финансовую помощь организации АНО ""Дирекция по организации 650-летия г.Кирова"" (ОГРН 1224300007776). Подробнее на сайте s-globus.ru.

ООО ""Роксэт-С"". ИНН: 4345024144
",Автор: Редакция,https://gorodkirov.ru/news/akciya-lyubimyj-gorod-v-supermarketah-sistema-globus/?erid=LjN8KWq6b
В Кирове у ночного клуба 20-летний избил до смерти незнакомца,"10 июн 2024, 11:57","
В Кирове нетрезвый 20-летний парень избил до смерти незнакомца.  Об этом сообщили в СУ СК по Кировской области.
Конфликт случился 7 июня около одного из ночных клубов города. Два ранее незнакомых мужчины в состоянии алкогольного опьянения поссорились и у них началась драка. В результате 20-летний молодой человек серьезно избил 33-летнего незнакомца. Второй от полученных травм скончался на месте.

– В настоящее время в отношении подозреваемого избрана мера пресечения в виде заключения под стражу. Следователем допрошены свидетели, проведен осмотр места преступления, назначены экспертизы. Проводится комплекс иных следственных действий, направленных на установление всех обстоятельств произошедшего, – сообщили в Следственном Комитете по Кировской области.

Фото: СУ СК по Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-u-nochnogo-kluba-20-letnij-izbil-do-smerti-neznakomca/
"Ремонт турбин в Москве – ключевые особенности, основные услуги, актуальность","10 июн 2024, 11:49","
Насчитывается большое количество автомобильного грузового транспорта, который специализируется на перевозке крупно-объемных и тяжелых грузов сыпучего, жидкого вида.  Для того, чтобы обеспечить длительный срок эксплуатации, для обеспечения экономичности и повышенной тяги для комплектования грузовых автотранспортных средств применяют дизельный двигатель внутреннего сгорания. Производители устанавливают агрегат, который обладает повышенным объемом и обладает повышенной тяговитостью и иными достоинствами.
Только важно понимать, что грузовой автомобиль эксплуатируется в жестких условиях – при высокой и низкой температуре, при погодных условиях. При этом, время на проведение технического обслуживания у большинства владельцев ограничено. В результате этого возникает необходимость проведения в «кустарных» условиях или же случаются поломки. Часто из строя выходит турбина. Этот элемент оборудования двигателя отвечает за генерирование воздушного потока и состоит из холодной и горячей части. Для восстановления работоспособности требуется ремонт турбин в Москве  http://voltag-remont-turbiny.ru/  .
Технические особенности процедуры и восстановление работоспособности
Устройство оборудования двигателя грузового автомобиля считается одним из сложных. В составе используется большое количество составных компонентов, которые образуют единую систему. К примеру, это турбина, состоящая из холодной, горячей части. Если узел выходит из строя, то повреждается узел. Двигатель начинает работать со сбоями, сила и крутящий момент падают, что сказывается на повышенном расходе топлива, «сваливании» в аварийный режим работы двигателя внутреннего сгорания.
Грузовой автомобиль начинает потреблять большое количество топлива, теряет в тягее. Для восстановления работоспособности турбины требуется обслуживание и ремонт. К популярным услугам, оказываемым автомобильными сервисами, относят:

ремонт холодной части турбины. Такой узел может выйти из строя и потребовать замену. В случае отсутствия возможности выполнить ремонт, покупают восстановленную или новую турбину;
ремонт горячей части турбины. Это компонент, обеспечивающий подачу воздуха в камеру сгорания.

Статья подготовлена по материалам сайта  http://voltag-remont-turbiny.ru/  .
 
Реклама. ООО «Вольтаж». ИНН: 7701934964
",Автор: Редакция,https://gorodkirov.ru/news/remont-turbin-v-moskve-klyuchevye-osobennosti-osnovnye-uslugi-aktualnost/?erid=LjN8K4TLW
В Кирове можно получить скидку 8 рублей на проезд в общественном транспорте,"10 июн 2024, 10:53","
В Кировской области заработала скидка 8 рублей на проезд в общественном транспорте.  Такая возможность появилась 10 июня.
Для того, чтобы платить за билет в автобусах и троллейбусах, нужно воспользоваться Системой быстрых платежей. В транспорте установлены специальные NFC-таблички, которые дают возможность провести бесконтактную оплату. Также на ней есть QR-код, который нужно сканировать камерой телефона. Такими табличками оснащены уже 800 автобусов.
Воспользоваться скидкой могут жители Кирова, Кирово-Чепецка, Слободского, Белой Холуницы. Кирса, Омутнинска, Советска, Вятских Полян и Юрьи. Для этого нужно скачать мобильное приложение СБПэй (6+) в  RuStore  или  App Gallery  . Там необходимо привязать свой банковский счет.
Напомним, с 1 июня в Кировской области  поднялась стоимость проезда в общественном транспорте  . Теперь билет в автобусах и троллейбусах обойдется кировчанам в 40 рублей.
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-mozhno-poluchit-skidku-8-rublej-na-proezd-v-obshestvennom-transporte/
На ремонт фасада Вятской гуманитарной гимназии выделят минимум 40 млн рублей,"10 июн 2024, 09:50","
Фасад Вятской гуманитарной гимназии хотят реставрировать за 40 млн рублей.  Соответствующий лот опубликовали на сайте Госзакупок.
Согласно информации из документов, речь идет об ""Вятской гуманитарной гимназии с углубленным изучением английского языка"". Здание находится на улице Свободы, 76. Оно является объектом культурного наследия регионального значения. Это бывший Дом Союзов, в нем с 13 по 19 апреля 1918 года проходил 1-й Губернский съезд профсоюзов Вятской губернии. Также это здание известно тем, что в 1928 году там выступал Владимир Маяковский, советский поэт и драматург.
Организация ищет подрядчика, который проведет ремонтно-реставрационные работы фасадов и металлического ограждения по периметру здания. На сам ремонт и монтаж выделят 35 млн. Остальные средства пойдут на оборудование, материалы и прочие траты. Заявки от желающих будут принимать до 24 июня.
Фото: Вятская гуманитарная гимназия 
",Автор: Данил Попов,https://gorodkirov.ru/news/na-remont-fasada-vyatskoj-gumanitarnoj-gimnazii-vydelyat-minimum-40-mln-rublej/
